,date,id,tweet content,user,reply count,retweet count,language,source,like count
0,2023-01-25 23:59:59+00:00,1618398308346793984,@Blue_8_heart Hi Blue👊🏼,mbunicornclub,1,0,en,Twitter for iPhone,1
1,2023-01-25 23:59:59+00:00,1618398307730206720,i’m the problem It’s me It’s me hi i’m the problem It’s me hi,antiherozs,0,0,en,Twitter for iPhone,0
2,2023-01-25 23:59:58+00:00,1618398304634810370,hi pooo!! may *greatest* what if na po ako sa forgotten au (tho i’m a bit hesitant din i-cc sainyo 🥹) pero here … — hmm. love the first what if. there's a lot they have to consider eh no? it's not always the feels lang. but here'… https://t.co/clL9ot17TP,jenotyleex,0,0,en,Twitter Web App,2
3,2023-01-25 23:59:58+00:00,1618398303888236545,なんかプリンマジにコーデを乗っ取られる感(言い方ァ！！！！！)(スタジオはひめめゲー←言い聞かせ)、初期ファルルの「なぁにが 飛ばせバルーン だよ！(ドロシー)」感あるな,hi4wa_chan,0,0,ja,Twitter for iPhone,0
4,2023-01-25 23:59:58+00:00,1618398302218907651,最近思うんだけど、うちってめっちゃくちゃマイペースなのかもしれない。違うのかな、？どうなんだろう,ice_o_pac,0,0,ja,Twitter for iPhone,1
5,2023-01-25 23:59:58+00:00,1618398301631709187,@R_uuu9r こら,MIKEY_HI_ni_i,1,0,ja,Twitter for iPhone,0
6,2023-01-25 23:59:57+00:00,1618398299215794176,"@masapoyo0108 結局マイルですもんね💦
オペラオー…😭",Hi_ro_Metal2,1,0,ja,Twitter for Android,0
7,2023-01-25 23:59:56+00:00,1618398296380436481,@n5GNm5k6lgKZi1a Hi,notban61291984,0,0,und,Twitter for Android,0
8,2023-01-25 23:59:56+00:00,1618398295570944000,I deserve better than this,HiCabrina,0,0,en,Twitter for iPhone,2
9,2023-01-25 23:59:56+00:00,1618398294815956993,@pottedminds @AimeeLouB Ann Williams Hi Aimee I think you are fortunate you don’t have to prove your painful condition any longer . Get you behind me Satan xx,AnnWilliamsIRE,1,0,en,Twitter for iPhone,1
10,2023-01-25 23:59:56+00:00,1618398294530723840,@callie_7c @Monica_6m Hi,lewiswi08185112,0,0,und,Twitter for iPhone,0
11,2023-01-25 23:59:56+00:00,1618398293167407109,"@jiangjinshun Hi, you can download the video from here:
https://t.co/pUOxfr29oA
Happy to help 😃",get_this_v,0,0,en,GetThisV,0
12,2023-01-25 23:59:55+00:00,1618398292374876160,"⠀
#𝕄ake휘파람 o̸n 𝖙he 𝑐e𝖗𝘰-ᥴhapter͟
ɀodiꪖc cꪮꪀs𝘵𝘦𝗅𝗅atio̶n  ⁂  𝕡𝐢sci𝕤 ⚢︎  the n𝕖w ☼︎ 𝒔par𝒌le › 𝔻-2

        (  whi𝕥𝖑e͜͡ 🌐 ꪀe͟p͟𝗍𝕦ne )

⊹ .. you c𝐚n see 𝕥hi𝕤 pr𝕖𝐭𝐭𝕪 𝚐i𝐫l making 𝚢𝕒h—𝚢𝕒h on 𝕛anuary 26𝚝𝚑 at 11𝚙𝚖. ⠀⠀

⠀ https://t.co/ffeSOMOS0H",tastevipers,0,1,en,Twitter for Android,1
13,2023-01-25 23:59:55+00:00,1618398291036897286,Hi @Ola_Mumbai Why am I paying the waiting fees when I was the one waiting because the driver didn’t know about the specific location?  PS: The driver was very polite and well behaved. Instead of me getting refunds for late arrival why am I the one who’s paying money? https://t.co/zp0WXmXhSZ,broooskiiiiii,1,0,en,Twitter for iPhone,0
14,2023-01-25 23:59:55+00:00,1618398290646827010,@seunchae @hi Lagi tipis aja dompetnya. :),ChoioBeomgyu,0,0,in,Twitter for Android,0
15,2023-01-25 23:59:55+00:00,1618398288964911104,"Ukrainian fighters WORKING FROM DRONES FOOTAGE - SEE HOW THEY ARE CONTROLLING THE AREA!
#Canada #Germany #America #Ukraine #Bakhmut
https://t.co/25LrORVtqB",HiGk2k,0,0,en,Twitter for Android,0
16,2023-01-25 23:59:54+00:00,1618398285248761861,@femboigarfield hi sally!!!!,FranKursztejn,0,0,en,Twitter for iPhone,1
17,2023-01-25 23:59:54+00:00,1618398284284067842,The bitchiest of hi standard ai goddess fully equipped sucka,LeighKisamore1,0,0,en,Twitter Web App,0
18,2023-01-25 23:59:53+00:00,1618398282732171265,"おはようございます☀
仕事が忙しい時期に差し掛かってるので、今日くらいから来週までは低浮上です😭

密かにずっと好きな、癒しのみなみちゃん(*´꒳`*)🫶 https://t.co/ryONmB7aC2",hi_maimayu,10,0,ja,Twitter for iPhone,11
19,2023-01-25 23:59:52+00:00,1618398279154405376,"@hi_ga_n_ba_na_ @shisyanokami 合ってるから、恥ずかしいんだね🙈
照れ屋さん( ⸝⸝-_-⸝⸝ )",naruhave4kids,1,0,ja,Twitter for Android,2
20,2023-01-25 23:59:52+00:00,1618398278781145089,@AkumoriNeeChan Hi tired...Hehe... I'm Creed~ Huehuehuehue~,Creed_Compati,0,0,pl,Twitter Web App,0
